system|artal_start|artal_slut|organisationsnummer|foretagsnummer|loneartsnummer|personalkategori|loneart_kod|loneart_namn|loneart_formel|underlagstyp_skatt|loneart_konto|loneart_motkonto|ej_underlag_soc_avg|kostnadsavdrag_sov_avg|kostnadsavdrag_soc_avg_procent|fora|kap_kl
Flex Lön|1973|2022|098765-4321|921|741|(STD)|741|Bilers bostad - arbete|Apris=3.40|Tabellskatt|7332||||0||
Flex Lön|1973|2022|098765-4321|921|742|(STD)|742|Inställelseresa skpl||Tabellskatt|||||0||
Flex Lön|1973|2022|098765-4321|921|745|(STD)|745|Åkningsanslag||Tabellskatt|7332||||0||
Flex Lön|1973|2022|098765-4321|921|760|(STD)|760|Trakt inrikes skfri|Apris=240|Ej Skatt|7321||||0||
Flex Lön|1973|2022|098765-4321|921|761|(STD)|761|Resetillägg heldag||Tabellskatt|7322||||0||
Flex Lön|1973|2022|098765-4321|921|762|(STD)|762|Resetillägg halvdag||Tabellskatt|7322||||0||
Flex Lön|1973|2022|098765-4321|921|765|(STD)|765|Nattraktamente skfr|Apris=120|Ej Skatt|7321||||0||
Flex Lön|1973|2022|098765-4321|921|770|(STD)|770|Traktamente utland skfri||Ej Skatt|7324||||0||
Flex Lön|1973|2022|098765-4321|921|780|(STD)|780|Måltidsavdrag inr sk fri||Ej Skatt|7321||||0||
Flex Lön|1973|2022|098765-4321|921|787|(STD)|787|Måltidsavdrag utr sk fri||Ej Skatt|7324||||0||
Flex Lön|1973|2022|098765-4321|921|790|(STD)|790|Kostnadsersättning||Ej Skatt|7390||true||0||
Flex Lön|1973|2022|098765-4321|921|790|TIM|790|Kostnadsersättning||Ej Skatt|7390||true||0||
Flex Lön|1973|2022|098765-4321|921|830|(STD)|830|Bilförmån|Antal= 1¤Belopp= N8|Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|835|(STD)|835|Drivmedelsförmån||Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|836|(STD)|836|Drivmedelsförmån 20%|Belopp = LartB(835) * 0,2|Tabellskatt|7380|7380|true||0||
Flex Lön|1973|2022|098765-4321|921|860|(STD)|860|Avdrag ersättningar||Ej Skatt|||true||0||
Flex Lön|1973|2022|098765-4321|921|890|(STD)|890|Förmån Rikskortet||Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|891|(STD)|891|Kostförmån övrig||Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|893|(STD)|893|Kostförmån frukost||Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|894|(STD)|894|Kostförmån||Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|895|(STD)|895|Övrig förmån||Tabellskatt|7390|7390|||0||
Flex Lön|1973|2022|098765-4321|921|896|(STD)|896|Parkeringsförmån||Tabellskatt|7390|7390|||0||
Flex Lön|1973|2022|098765-4321|921|898|(STD)|898|Bostadsförmån, ej pensgr||Tabellskatt|7380|7380|||0||
Flex Lön|1973|2022|098765-4321|921|912|(STD)|912|Skatt||Ej Skatt|2710||||0||
Flex Lön|1973|2022|098765-4321|921|913|(STD)|913|Engångsskatt||Ej Skatt|2710||||0||
Flex Lön|1973|2022|098765-4321|921|914|(STD)|914|Frivillig skatt|Om Nettolön - N7 >0¤Belopp= N7*-1¤Annars¤Belopp= 0¤Slut Om|Ej Skatt|2710||||0||
